	date	air_hum	air_hum_min	air_hum_max	air_temp	air_temp_min	air_temp_max	pluvm	down_mildew	powdery_mildew	botrytis	erysiphe
0	1/1/2022	96.75151515	96.3	97.3	2.001212121	-0.6	7.01	0.006060606	0	0	0	0
1	1/2/2022	94.6942029	85.7	97.7	3.725072464	-2.29	13.21	0.002898551	0	0	0	0
2	1/3/2022	96.93064516	95.7	97.6	2.722096774	0.97	4.66	0.006451613	0	0	0	0
3	1/4/2022	97.93188406	97.6	98.3	4.248550725	2.53	5.65	0.002898551	0	0	0	0
4	1/5/2022	87.04	69.8	98.4	9.900428571	4.04	15.88	0.268571429	0	0	0	0
5	1/6/2022	90.78115942	85.6	93.3	3.740289855	1.15	5.71	0.275362319	0	0	0	0
6	1/7/2022	85.14571429	73.3	90.5	2.951714286	0.21	7.12	0	0	0	0	0
7	1/8/2022	85.46811594	71.3	92.4	1.276956522	-2.92	6.81	0	0	0	0	0
8	1/9/2022	91.14615385	87.1	93.1	0.161076923	-2.29	1.63	0.141538462	0	0	0	0
9	1/10/2022	78.87826087	69.9	92.5	3.513478261	1.42	5.6	0.034782609	0	0	0	0
10	1/11/2022	73.62537313	59.1	85.8	3.229701493	-1.99	8.85	0	0	0	0	0
11	1/12/2022	73.76285714	59.8	86.8	1.947428571	-2.95	7.27	0	0	0	0	0
12	1/13/2022	71.69571429	51.9	81.7	1.586	-1.73	7.86	0	0	0	0	0
13	1/14/2022	63.45774648	42.1	84.9	4.288450704	-0.4	13.13	0	0	0	0	0
14	1/15/2022	77.45142857	53.3	88.1	4.889571429	-0.07	12.91	0	0	0	0	0
15	1/16/2022	80.67714286	60.6	89.4	4.438	-0.91	12.35	0	0	0	0	0
16	1/17/2022	77.38428571	53.2	91.3	5.089	-1.05	14.22	0	0	0	0	0
17	1/18/2022	86.30606061	67	93.7	1.593939394	-2.9	6.23	0	0	0	0	0
18	1/19/2022	93.24545455	87.6	95.1	0.38969697	-2.9	6.72	0.003030303	0	0	0	0
19	1/20/2022	92.8703125	87.3	95.1	3.39078125	0.08	7.86	0.009375	0	0	0	0
20	1/21/2022	89.51014493	81.8	93.3	3.299565217	-0.57	6.6	0	0	0	0	0
21	1/22/2022	79.58529412	51.3	91.2	2.411470588	-4.19	11.67	0	0	0	0	0
